social10,self_esteem,locus,ses,gpa,parent_ed
58.82,1.33,0.51,0.209,3.3,2
43.48,-2.28,-1.33,-0.691,2.8,6
45.54,-0.88,-0.58,-0.142,3.8,2
40.86,-0.46,-1.02,-0.784,3.5,1
45.48,-0.85,-0.41,0.224,3.5,2
48.33,0.18,-0.13,-0.656,3.8,4
58.26,0.31,0.3,-0.521,2.8,2
45.27,0.56,0.52,-0.553,3,3
29.23,-0.18,-0.35,-0.089,0.8,1
51.12,-0.46,0.28,-0.993,4,2
60.19,0.79,0.32,1.174,4,6
61.24,1.33,0.97,0.698,3.8,5
51.49,-0.14,0.5,-0.72,3.5,1
43.73,0.77,1.18,-0.492,2.8,3
33.49,0.32,0.07,-1.417,1.6,2
41.66,1.1,0.79,0.333,3,5
54.68,-0.1,-0.19,0.927,3.3,3
47.22,0.43,0.15,-1.329,3.3,1
30.41,-0.64,-0.38,-1.404,1.6,2
63.64,0.79,0.53,0.558,3.8,5
38.45,0.08,-0.86,-0.856,2.8,2
48,-0.85,-0.58,-0.114,3,3
42.26,0.49,0.33,0.108,1.3,5
52.24,0.12,-0.37,-0.018,1.6,3
60.03,0.69,0.97,0.313,3.5,5
47.64,-0.99,-0.35,-0.733,3.8,2
34.9,-0.11,-0.17,-0.34,2.5,2
49.8,0.73,0.33,0.39,2.3,5
39.73,0.26,0.12,-0.282,3,3
63.44,-0.1,0.27,0.009,3.5,3
48.59,1.33,0.73,0.335,3.8,4
40.58,-1.47,-1.52,-0.465,1.6,2
58.45,0.2,-0.36,-0.071,3.3,5
39.48,-0.23,0.07,-0.802,3.5,2
39.19,0.58,0.29,-0.549,3.5,3
52.4,0.51,-0.4,0.634,3.3,5
44.37,-0.45,0.07,-0.336,3.3,2
66.84,0.73,0.52,-0.431,2.8,2
33.91,-0.64,-1.04,-0.632,4,2
39.02,1.33,1.43,0.812,2.3,6
31.24,-0.68,-0.6,-1.106,2.5,4
32.11,0.14,0.51,-1.258,2.5,2
60.17,0.37,-0.58,-0.56,3,1
59.05,0.17,-0.65,0.141,4,4
50.37,0.97,0.07,-0.212,3.3,4
50.01,0.34,0.51,-1.282,1.3,1
44.36,0.6,-0.57,-0.41,2.8,1
51.8,0.97,0.36,0.171,3.3,5
57.09,0.35,0.3,0.808,4,5
54.27,0.77,0.04,-0.181,2.8,4
54.35,0.52,0.73,0.972,4,7
31.59,-1.3,0.08,-0.291,1.6,2
35.51,0,-0.37,-0.45,0.6,1
50.35,0.17,0.09,0.128,3,5
52.76,0.3,0.09,-0.132,2.1,2
45.06,0.7,0.74,-0.419,1.4,2
49.34,0.11,1,-0.315,3,2
51.97,-0.1,0.28,-0.869,2.3,3
38.2,-0.89,-0.62,-1.828,2,3
66.12,0.19,-0.64,0.685,3.8,3
36.23,0.76,0.58,0.248,3.3,2
41.88,-0.1,0.07,-0.792,3,2
46.49,-0.5,-0.38,-0.756,3.3,3
36.44,-0.56,0.1,-1.575,3,1
46.46,0.32,0.07,-0.812,2.5,4
51.63,-0.05,-0.63,-0.171,2.5,7
61.82,0,0.72,0.206,4,5
56.47,-0.1,0.07,0.775,3.5,7
67.53,0.79,-0.79,0.958,3,5
47.13,-0.14,0.02,0.401,3,5
57.58,-0.45,0.29,0.905,2.8,6
67.72,0.21,0.29,0.883,4,5
49.58,-0.45,0.3,0.229,3.3,5
51.31,-0.61,-0.41,-0.186,3,5
41.65,0.46,-0.62,-0.178,2,2
63.29,0.36,0.95,-0.586,4,6
66.89,0.59,0.03,0.005,3.3,3
53.03,-0.85,0.3,-0.48,1.6,4
47.23,-0.89,-1,-0.444,3.5,2
42.94,0.01,-0.67,-0.168,2.2,4
65.61,-0.1,0.29,1.127,3.8,6
50.27,1.1,0.29,-0.267,2.5,3
34.77,0.2,-0.36,-0.957,2,1
45.91,-0.28,-0.14,0.85,1.9,5
54.13,1.33,0.48,0.612,3.5,5
61.67,-0.45,0.07,0.568,4,5
34.46,-0.64,-0.8,-1.157,3,1
57.64,1.12,0.32,0.093,3.3,2
50.98,-0.45,-0.37,-0.64,3,2
40.68,0.62,-1.06,-0.925,3,1
59.89,1.33,0.28,1.302,3.3,6
60.16,-0.27,0.32,0.903,3.3,7
33.26,-0.03,-1.01,-1.578,2.3,1
28.94,-0.46,-0.1,-0.297,3.5,2
53.3,-0.81,-0.33,-0.084,3,3
47.42,-0.05,-0.14,0.18,2.3,5
59.95,0.6,0.3,-0.007,4,5
50.59,0.94,0.79,0.63,3.5,4
41.82,-0.68,-0.15,0.281,0.9,4
54.74,0.21,-0.21,0.55,2,7
59.12,-0.64,0.03,-0.763,2.8,2
53.11,0.58,0.33,1.171,3,6
69.16,0.73,0.11,1.378,4,7
51.96,0.57,-0.79,-0.501,2.3,2
65.69,-0.42,1.43,-0.469,3.8,2
41.9,-0.1,0.07,0.341,3,4
67.53,1.12,0.99,-0.531,4,4
47.85,-0.45,0.3,-0.741,3,2
49.28,0.96,0.51,-0.441,2.5,2
40.81,-0.1,0.07,0.379,3,5
60.78,0.25,0.07,-0.733,3.3,4
55.95,-0.1,0.32,0.653,3.5,7
46.89,0.11,0.32,-1.207,1.8,1
48.78,-0.45,0.07,0.808,3.3,5
43.78,0.71,1.19,1.206,3,6
37.62,-0.29,-1.07,-0.438,2.3,3
66.57,-0.1,-0.14,0.235,2.8,2
51.42,0.57,0.74,0.461,3.5,3
56.09,0.74,0.95,1.313,3.3,7
63.53,-0.1,0.07,0.072,2.8,4
63.46,-0.28,0.07,-0.488,3.5,3
39.18,-0.64,-1.04,0.581,2.5,6
66.43,-1.11,0.3,0.838,3.8,6
56.36,-0.06,0.27,0.219,3,2
67.72,0.87,0.43,0.243,2.8,3
55.02,-0.1,0.07,0.504,2.8,3
66.46,0.97,0.32,-0.303,4,2
48.85,-0.41,-0.97,-0.786,2.5,4
52.91,-0.46,-1.04,0.178,2.5,6
63.42,0.34,0.07,1.065,4,7
51.21,-0.03,0.72,0.009,3.5,2
60.18,0.13,0.3,-0.294,3,2
48.22,-0.06,0.02,-0.514,3.5,4
58.08,-0.27,-0.19,-0.376,3.3,4
47.77,-0.64,-0.6,-0.41,2.5,4
59.23,0.09,0.51,0.581,2.3,2
63.42,-0.04,-0.44,-0.475,2.5,2
60.16,0.7,0.77,1.154,3.8,6
45.47,0.44,0.71,0.309,2.5,2
56.19,-0.43,-0.14,-0.49,3.5,4
49.6,0.35,0.98,-0.139,3,5
63.8,0.44,1.18,-0.224,3.5,5
44.04,0.55,0.56,0.026,3.5,2
